Section,Key,English,Vietnamese,Has HTML,Notes
why,why.usp4Desc,Limited drivers per session to ensure proper coaching and individual feedback.,Giới hạn số tay đua mỗi buổi để đảm bảo huấn luyện sát sao và phản hồi riêng cho từng người.,,
why,why.usp5Title,Coaching That Matters,Huấn luyện thực chất,,
why,why.usp5Desc,Every run is reviewed. Drivers understand what to fix and how to improve.,Mỗi lượt chạy đều được phân tích. Tay đua hiểu rõ cần sửa gì và cải thiện thế nào.,,
why,why.usp6Title,Race Pathway,Lộ trình thi đấu,,
why,why.usp6Desc,"Opportunities to progress into regional racing, including the <a href=""https://www.vortex-rok.com/championship_responsive.php?n=ASIA&amp;anno=2026"" target=""_blank"" rel=""noopener"">ROK series</a>.","Cơ hội tiến lên đua ở cấp khu vực, bao gồm <a href=""https://www.vortex-rok.com/championship_responsive.php?n=ASIA&amp;anno=2026"" target=""_blank"" rel=""noopener"">giải ROK</a>.",YES,
why,why.imgAlt,Kart Driver,Tay đua kart,,
programs,programs.label,Programs,Chương trình,,
programs,programs.headingLine1,Driver Development,Chương trình Phát triển,,
programs,programs.headingLine2,Programs,Tay đua,,
programs,programs.unit,From / per month,Từ / mỗi tháng,,
programs,programs.applyBtn,Apply Now,Đăng ký ngay,,
programs,programs.cadetTitle1,Vietnamese,Việt Nam,,
programs,programs.cadetTitle2,Cadet,Cadet,,
programs,programs.cadetDesc,"Sunday program for cadet drivers. 2 track weekends at Dai Nam with <strong>Coach Steven</strong>, assisted by Peter, and 2 simulator weekends at Cheat Code Cafe, BLOQ with <strong>Coach Blayke Philips</strong> or Coach Steven.","Chương trình Chủ nhật cho tay đua hạng Cadet. 2 cuối tuần trên đường đua tại Đại Nam cùng <strong>HLV Steven</strong>, có Peter hỗ trợ, và 2 cuối tuần mô phỏng tại Cheat Code Cafe, BLOQ cùng <strong>HLV Blayke Philips</strong> hoặc HLV Steven.",YES,
programs,programs.cadetLi1,HCMC pick-up at 6:30 AM,Đón tại TP.HCM lúc 6:30 sáng,,
programs,programs.cadetLi2,Dai Nam training from 8:00 AM–12:00 PM,Tập tại Đại Nam từ 8:00–12:00,,
programs,programs.cadetLi3,2 drivers on track at a time,2 tay đua trên đường cùng lúc,,
programs,programs.cadetLi4,"Track heats, feedback, and video review","Chạy heat, phản hồi và xem lại video",,
programs,programs.cadetLi5,Simulator training with Blayke or Steven,Tập mô phỏng cùng Blayke hoặc Steven,,
programs,programs.juniorTitle1,Vietnamese,Việt Nam,,
programs,programs.juniorTitle2,Junior,Junior,,
programs,programs.juniorDesc,"Sunday program for junior drivers. 2 track weekends at Dai Nam with <strong>Coach Steven</strong>, assisted by Peter, and 2 simulator weekends at Cheat Code Cafe, BLOQ with <strong>Coach Blayke Philips</strong> or Coach Steven.","Chương trình Chủ nhật cho tay đua hạng Junior. 2 cuối tuần trên đường đua tại Đại Nam cùng <strong>HLV Steven</strong>, có Peter hỗ trợ, và 2 cuối tuần mô phỏng tại Cheat Code Cafe, BLOQ cùng <strong>HLV Blayke Philips</strong> hoặc HLV Steven.",YES,
programs,programs.juniorLi1,HCMC pick-up at 6:30 AM,Đón tại TP.HCM lúc 6:30 sáng,,
programs,programs.juniorLi2,Dai Nam training from 8:00 AM–12:00 PM,Tập tại Đại Nam từ 8:00–12:00,,
programs,programs.juniorLi3,2 drivers on track at a time,2 tay đua trên đường cùng lúc,,
programs,programs.juniorLi4,"Braking, lines, racecraft, and consistency","Phanh, chọn line, kỹ năng đua và sự ổn định",,
programs,programs.juniorLi5,Simulator training with Blayke or Steven,Tập mô phỏng cùng Blayke hoặc Steven,,
pathway,pathway.label,Racing Pathway,Lộ trình thi đấu,,
pathway,pathway.line1,From Training,Từ Tập Luyện,,
pathway,pathway.toWord,To,Đến,,
pathway,pathway.racing,Racing,Đường Đua,,
pathway,pathway.item1,Train and compete at regional circuits such as Bira and Sepang,Tập luyện và thi đấu tại các trường đua khu vực như Bira và Sepang,,
pathway,pathway.item2,Participate in Vortex-supported racing series,Tham gia các giải đua được Vortex hỗ trợ,,
pathway,pathway.item3,"Receive race coaching, preparation, and trackside support","Được huấn luyện thi đấu, chuẩn bị và hỗ trợ ngay tại đường đua",,
karts,karts.label,Equipment,Trang bị,,
karts,karts.heading1,Karts &,Kart &,,
karts,karts.heading2,Equipment,Trang bị,,
karts,karts.sub,"We train on proper race karts, not rental karts. Race-level performance, consistency, and control.","Chúng tôi tập trên kart đua thực thụ, không phải kart cho thuê. Hiệu năng, sự ổn định và khả năng kiểm soát đúng chuẩn thi đấu.",,
karts,karts.slideAlt,CS55 Racing Kart,Kart đua CS55,,
karts,karts.prev,Previous kart,Kart trước,,
karts,karts.next,Next kart,Kart sau,,
karts,karts.powered,Powered by,Trang bị động cơ,,
karts,karts.logoAlt,Vortex Engines,Vortex Engines,,
karts,karts.category,Kart Equipment,Trang bị Kart,,
karts,karts.title,CS55 Racing,CS55 Racing,,
karts,karts.desc,Full-performance race kart for adult drivers training at competitive levels.,Kart đua hiệu năng cao dành cho tay đua trưởng thành tập luyện ở cấp độ thi đấu.,,
team,team.label,Coaching Team,Đội ngũ huấn luyện,,
team,team.heading1,Driver Development,Đội ngũ Phát triển,,
team,team.heading2,Team,Tay đua,,
team,team.sub,"Coaches who focus on racecraft, discipline, and preparing drivers for competitive racing.","Các huấn luyện viên tập trung vào kỹ năng đua, kỷ luật và chuẩn bị cho tay đua bước vào thi đấu.",,
team,team.davidRole,Head Coach · English-Speaking Program,HLV Trưởng · Chương trình tiếng Anh,,
team,team.davidName,David Guibal,David Guibal,,
team,team.davidBio,"David Guibal is a professional karting coach and the original Founder of Infinity Racing in Vietnam. Coming from a racing family, with his father involved in Citroën Racing during the Sébastien Loeb era, David brings deep motorsport experience from competing across Asia in the Senior Rotax Series. He helps drivers develop racecraft, kart control, setup understanding, and competitive confidence from beginner to advanced levels.","David Guibal là huấn luyện viên karting chuyên nghiệp và là Nhà sáng lập đầu tiên của Infinity Racing tại Việt Nam. Xuất thân từ một gia đình đua xe — cha anh từng tham gia Citroën Racing thời kỳ Sébastien Loeb — David mang theo bề dày kinh nghiệm motorsport từ việc thi đấu khắp châu Á ở giải Senior Rotax. Anh giúp tay đua phát triển kỹ năng đua, khả năng kiểm soát kart, hiểu về setup và sự tự tin thi đấu, từ cơ bản đến nâng cao.",,
team,team.blaykeRole,Simulator Coach,HLV Mô phỏng,,
team,team.blaykeName,Blayke Philips,Blayke Philips,,
team,team.blaykeBio,"Blayke Philips is a simulator coach specializing in remote driver development and race preparation. He helps drivers improve consistency, decision-making, racing lines, braking technique, and race scenarios through structured simulator training. His coaching supports on-track progress by helping drivers build confidence, discipline, and sharper racecraft between track sessions.","Blayke Philips là huấn luyện viên mô phỏng chuyên về phát triển tay đua từ xa và chuẩn bị thi đấu. Anh giúp tay đua cải thiện sự ổn định, khả năng ra quyết định, chọn line, kỹ thuật phanh và xử lý các tình huống đua thông qua chương trình tập mô phỏng bài bản. Việc huấn luyện của anh hỗ trợ tiến bộ trên đường đua bằng cách giúp tay đua xây dựng sự tự tin, kỷ luật và kỹ năng đua sắc bén giữa các buổi tập.",,
team,team.stevenRole,Head Coach · Vietnamese-Speaking Program,HLV Trưởng · Chương trình tiếng Việt,,
team,team.stevenName,Steven Nguyen,Steven Nguyen,,
team,team.stevenBio,"Nguyen Trung Quan (Steven Nguyen) is a professional motorsport instructor and Co-Founder of Speed Master Club. He has trained multiple Pro Kart programs, helping drivers develop racing technique, vehicle control, safety awareness, and confidence from beginner to advanced levels.","Nguyễn Trung Quân (Steven Nguyen) là huấn luyện viên motorsport chuyên nghiệp và là Đồng sáng lập Speed Master Club. Anh đã đào tạo nhiều chương trình Pro Kart, giúp tay đua phát triển kỹ thuật đua, khả năng kiểm soát xe, ý thức an toàn và sự tự tin, từ cơ bản đến nâng cao.",,
drivers,drivers.heading1,Our,Tay đua,,
drivers,drivers.heading2,Drivers,Của Chúng Tôi,,
drivers,drivers.maxiRole,Academy Driver,Tay đua Học viện,,
drivers,drivers.maxiName,Maxie Jumar,Maxie Jumar,,
drivers,drivers.maxiCountry,🇻🇳 Vietnam,🇻🇳 Việt Nam,,
drivers,drivers.noelRole,Academy Junior,Tay đua Junior,,
drivers,drivers.noelName,Emmanuel Mariano,Emmanuel Mariano,,
drivers,drivers.noelCountry,🇵🇭 Philippines,🇵🇭 Philippines,,
approach,approach.label,Training Approach,Phương pháp đào tạo,,
approach,approach.heading1,Structured,Buổi Tập,,
approach,approach.heading2,Sessions,Bài Bản,,
approach,approach.step1Title,Briefing,Họp trước,,
approach,approach.step1Desc,Track overview and clear objectives for the session.,Tổng quan đường đua và mục tiêu rõ ràng cho buổi tập.,,
approach,approach.step2Title,Track Time,Thời gian trên đường,,
approach,approach.step2Desc,"Controlled runs with focused drills — lines, braking, exits.","Các lượt chạy có kiểm soát với bài tập trọng tâm — line, phanh, thoát cua.",,
approach,approach.step3Title,Review,Phân tích,,
approach,approach.step3Desc,Video and data breakdown with individual feedback.,Phân tích video và dữ liệu kèm phản hồi cho từng người.,,
approach,approach.step4Title,Repeat,Lặp lại,,
approach,approach.step4Desc,Apply corrections immediately and build consistency.,Áp dụng chỉnh sửa ngay lập tức và xây dựng sự ổn định.,,
approach,approach.trainingAt,Training at,Tập luyện tại,,
approach,approach.location,Dai Nam Racetrack,Trường đua Đại Nam,,
approach,approach.quote,"""Drivers don't improve by turning more laps — they improve by understanding them.""","""Tay đua không giỏi lên nhờ chạy nhiều vòng hơn — mà nhờ hiểu rõ từng vòng chạy.""",,
gear,gear.label,Required Gear,Trang bị bắt buộc,,
gear,gear.heading1,Karting Is A,Karting Là,,
gear,gear.heading2,Motorsport,Môn Thể Thao Tốc Độ,,
gear,gear.sub,Proper gear is mandatory. Safety is non-negotiable.,Trang bị đúng chuẩn là bắt buộc. An toàn là điều không thể thỏa hiệp.,,
gear,gear.previewAlt,Gear preview,Xem trang bị,,
gear,gear.helmet,Full-Face Helmet,Mũ bảo hiểm kín,,
gear,gear.suit,Racing Suit,Bộ đồ đua,,
gear,gear.gloves,Gloves,Găng tay,,
gear,gear.shoes,Racing Shoes,Giày đua,,
gear,gear.rib,Rib Protector,Giáp bảo vệ sườn,,
gear,gear.neck,Neck Brace,Đai bảo vệ cổ,,
gear,gear.note,"We can assist with selecting the right gear through Racehub, or provide rental gear for single-day training sessions.","Chúng tôi có thể hỗ trợ chọn trang bị phù hợp qua Racehub, hoặc cho thuê trang bị cho các buổi tập lẻ ngày.",,
form,form.label,Apply,Đăng ký,,
form,form.heading1,Apply For The,Đăng ký vào,,
form,form.heading2a,Driver's,Học viện,,
form,form.heading2b,Academy,Tay đua,,
form,form.sub,"Tell us a bit about the driver, and we'll get in touch to discuss the next steps.","Cho chúng tôi biết đôi chút về tay đua, chúng tôi sẽ liên hệ để trao đổi các bước tiếp theo.",,
form,form.groupDriver,Driver Information,Thông tin tay đua,,
form,form.driverNameLabel,Driver Name *,Tên tay đua *,,
form,form.driverNamePh,Full name,Họ và tên,,
form,form.ageLabel,Age *,Tuổi *,,
form,form.agePh,Age,Tuổi,,
form,form.experienceLabel,Experience Level *,Trình độ *,,
form,form.experiencePh,Select experience level,Chọn trình độ,,
form,form.expBeginner,Beginner,Mới bắt đầu,,
form,form.expSome,Some Experience,Có chút kinh nghiệm,,
form,form.expRacing,Racing Experience,Đã từng thi đấu,,
form,form.groupParent,Parent / Contact (if minor),Phụ huynh / Liên hệ (nếu dưới 18 tuổi),,
form,form.parentNameLabel,Parent Name,Tên phụ huynh,,
form,form.parentNamePh,Parent / Guardian name,Tên phụ huynh / người giám hộ,,
form,form.phoneLabel,Phone Number *,Số điện thoại *,,
form,form.phonePh,+84,+84,,
form,form.emailLabel,Email *,Email *,,
form,form.emailPh,email@example.com,email@example.com,,
form,form.groupContext,Additional Context,Thông tin thêm,,
form,form.goalsLabel,What are you looking to achieve?,Bạn muốn đạt được điều gì?,,
form,form.goalsPh,Tell us about your goals...,Chia sẻ mục tiêu của bạn...,,
form,form.programLabel,Preferred Program *,Chương trình mong muốn *,,
form,form.programPh,Select a program,Chọn chương trình,,
form,form.programCadet,Vietnamese Cadet Program,Chương trình Cadet Việt Nam,,
form,form.programJunior,Vietnamese Junior Program,Chương trình Junior Việt Nam,,
form,form.programNotSure,Not Sure Yet,Chưa chắc chắn,,
form,form.submit,Submit Application,Gửi đăng ký,,
footer,footer.logoAlt,Racehub,Racehub,,
footer,footer.copy,© 2026 Racehub Driver's Academy. All rights reserved.,© 2026 Học viện Đua xe Racehub. Bảo lưu mọi quyền.,,
